AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,24,Chip 2,MRF SC+PL,20,17,#FF1493,1,1,24,24 - AZ01 - 24,3,3 de 3
AZ01,24,Chip 2,INFRA,37,3,#000000,0,1,24,24 - AZ01 - 24,0,
AZ01,25,Chip 1,CSCF PL,0,8,#02675F,1,1,25,25 - AZ01 - 25,29,14 de 29
AZ01,25,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,25,25 - AZ01 - 25,13,5 de 13
AZ01,25,Chip 1,INFRA,17,3,#000000,0,1,25,25 - AZ01 - 25,0,
AZ01,25,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,25,25 - AZ01 - 25,15,14 de 15
AZ01,25,Chip 2,PDRA PL,25,6,#FF7300,1,2,25,25 - AZ01 - 25,12,11 de 12
AZ01,25,Chip 2,PDRA PL,31,6,#FF7300,1,2,25,25 - AZ01 - 25,12,12 de 12
AZ01,25,Chip 2,INFRA,37,3,#000000,0,1,25,25 - AZ01 - 25,0,
AZ01,26,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,26,26 - AZ01 - 26,15,6 de 15
AZ01,26,Chip 1,SBG PL,5,10,#00A6A6,1,1,26,26 - AZ01 - 26,14,6 de 14
AZ01,26,Chip 1,INFRA,17,3,#000000,0,1,26,26 - AZ01 - 26,0,
AZ01,26,Chip 2,CSCF PL,20,8,#02675F,1,1,26,26 - AZ01 - 26,29,28 de 29
AZ01,26,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,26,26 - AZ01 - 26,13,12 de 13
AZ01,26,Chip 2,INFRA,37,3,#000000,0,1,26,26 - AZ01 - 26,0,
AZ01,27,Chip 1,CSCF PL,0,8,#02675F,1,1,27,27 - AZ01 - 27,29,15 de 29
AZ01,27,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,27,27 - AZ01 - 27,13,7 de 13
