AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ02,8,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,34,34 - AZ02 - 8,24,8 de 24
AZ02,8,Chip 1,INFRA,17,3,#000000,0,1,34,34 - AZ02 - 8,0,
AZ02,8,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,34,34 - AZ02 - 8,24,20 de 24
AZ02,8,Chip 2,INFRA,37,3,#000000,0,1,34,34 - AZ02 - 8,0,
AZ02,9,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,35,35 - AZ02 - 9,24,9 de 24
AZ02,9,Chip 1,INFRA,17,3,#000000,0,1,35,35 - AZ02 - 9,0,
AZ02,9,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,35,35 - AZ02 - 9,24,21 de 24
AZ02,9,Chip 2,INFRA,37,3,#000000,0,1,35,35 - AZ02 - 9,0,
AZ02,10,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,36,36 - AZ02 - 10,24,10 de 24
AZ02,10,Chip 1,INFRA,17,3,#000000,0,1,36,36 - AZ02 - 10,0,
AZ02,10,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,36,36 - AZ02 - 10,24,22 de 24
AZ02,10,Chip 2,INFRA,37,3,#000000,0,1,36,36 - AZ02 - 10,0,
AZ02,11,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,37,37 - AZ02 - 11,24,11 de 24
AZ02,11,Chip 1,INFRA,17,3,#000000,0,1,37,37 - AZ02 - 11,0,
AZ02,11,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,37,37 - AZ02 - 11,24,23 de 24
AZ02,11,Chip 2,INFRA,37,3,#000000,0,1,37,37 - AZ02 - 11,0,
AZ02,12,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,38,38 - AZ02 - 12,24,12 de 24
AZ02,12,Chip 1,INFRA,17,3,#000000,0,1,38,38 - AZ02 - 12,0,
AZ02,12,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,38,38 - AZ02 - 12,24,24 de 24
AZ02,12,Chip 2,INFRA,37,3,#000000,0,1,38,38 - AZ02 - 12,0,
AZ03,1,Chip 1,HSS-FE PL,0,8,#1E88E5,1,4,39,39 - AZ03 - 1,11,1 de 11
AZ03,1,Chip 1,HSS-FE PL,8,8,#1E88E5,1,4,39,39 - AZ03 - 1,11,2 de 11
AZ03,1,Chip 1,INFRA,17,3,#000000,0,1,39,39 - AZ03 - 1,0,
AZ03,1,Chip 2,INFRA,37,3,#000000,0,1,39,39 - AZ03 - 1,0,
AZ03,2,Chip 1,HLR-FE PL Traffic - BC,0,5,#00BFFF,1,1,40,40 - AZ03 - 2,3,1 de 3
AZ03,2,Chip 1,HSS-FE PL,5,8,#1E88E5,1,4,40,40 - AZ03 - 2,11,3 de 11
AZ03,2,Chip 1,INFRA,17,3,#000000,0,1,40,40 - AZ03 - 2,0,
AZ03,2,Chip 2,EDA PN,20,5,#014421,1,1,40,40 - AZ03 - 2,3,2 de 3
AZ03,2,Chip 2,HLR-FE PL SPX - CP,25,2,#00BFFF,1,1,40,40 - AZ03 - 2,2,1 de 2
AZ03,2,Chip 2,HSS-FE PL,27,8,#1E88E5,1,4,40,40 - AZ03 - 2,11,8 de 11
AZ03,2,Chip 2,INFRA,37,3,#000000,0,1,40,40 - AZ03 - 2,0,
AZ03,3,Chip 1,HSS-FE PL,0,8,#1E88E5,1,4,41,41 - AZ03 - 3,11,4 de 11
AZ03,3,Chip 1,HSS-FE PL,8,8,#1E88E5,1,4,41,41 - AZ03 - 3,11,5 de 11
