AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Numero
AZ02,6,Chip 1,INFRA,17,3,#000000,0,1,35,35 - AZ02 - 6,
AZ02,6,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,35,35 - AZ02 - 6,1 de 1
AZ02,6,Chip 2,INFRA,37,3,#000000,0,1,35,35 - AZ02 - 6,
AZ02,7,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,36,36 - AZ02 - 7,1 de 1
AZ02,7,Chip 1,INFRA,17,3,#000000,0,1,36,36 - AZ02 - 7,
AZ02,7,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,36,36 - AZ02 - 7,1 de 1
AZ02,7,Chip 2,INFRA,37,3,#000000,0,1,36,36 - AZ02 - 7,
AZ02,8,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,37,37 - AZ02 - 8,1 de 1
AZ02,8,Chip 1,INFRA,17,3,#000000,0,1,37,37 - AZ02 - 8,
AZ02,8,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,37,37 - AZ02 - 8,1 de 1
AZ02,8,Chip 2,INFRA,37,3,#000000,0,1,37,37 - AZ02 - 8,
AZ02,9,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,38,38 - AZ02 - 9,1 de 1
AZ02,9,Chip 1,INFRA,17,3,#000000,0,1,38,38 - AZ02 - 9,
AZ02,9,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,38,38 - AZ02 - 9,1 de 1
AZ02,9,Chip 2,INFRA,37,3,#000000,0,1,38,38 - AZ02 - 9,
AZ02,10,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,39,39 - AZ02 - 10,1 de 1
AZ02,10,Chip 1,INFRA,17,3,#000000,0,1,39,39 - AZ02 - 10,
AZ02,10,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,39,39 - AZ02 - 10,1 de 1
AZ02,10,Chip 2,INFRA,37,3,#000000,0,1,39,39 - AZ02 - 10,
AZ02,11,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,40,40 - AZ02 - 11,1 de 1
AZ02,11,Chip 1,INFRA,17,3,#000000,0,1,40,40 - AZ02 - 11,
AZ02,11,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,40,40 - AZ02 - 11,1 de 1
AZ02,11,Chip 2,INFRA,37,3,#000000,0,1,40,40 - AZ02 - 11,
AZ02,12,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,41,41 - AZ02 - 12,1 de 1
